item_no,name,desc,category,detail,specification,unit,price_1,price_2,price_3,price_4,price_5,remark,
SB-2022-1,线阵音响,大线阵（全套）16+8,音响,线阵音响 - 大线阵（全套）,16+8/只,套,6700.00 ,6700.00 ,6700.00 ,6600.00 ,/,含返听,
SB-2022-2,线阵音响,大线阵（半套）8+4,音响,线阵音响 - 大线阵（半套）,8+4/只,套,4400.00 ,4400.00 ,4500.00 ,4300.00 ,/,含返听,
SB-2022-3,线阵音响,大线阵（半套）12+4,音响,线阵音响 - 大线阵（半套）,12+4/只,套,5500.00 ,5500.00 ,5500.00 ,5700.00 ,/,含返听,
SB-2022-4,线阵音响,小线阵（全套）8+4,音响,线阵音响 - 小线阵（全套）,8+4/只,套,3800.00 ,3800.00 ,3800.00 ,3800.00 ,3800.00 ,含返听,
SB-2022-5,线阵音响,小线阵（半套）4+2,音响,线阵音响 - 小线阵（半套）,4+2/只,套,1900.00 ,1900.00 ,2000.00 ,1900.00 ,2000.00 ,含返听,
SB-2022-6,双15寸音箱,双15寸音箱,音响,双15寸音箱,,只,290.00 ,290.00 ,300.00 ,280.00 ,350.00 ,,
SB-2022-7,单15 寸音响,单15 寸音响,音响,单15 寸音响,,只,290.00 ,290.00 ,300.00 ,280.00 ,300.00 ,,
SB-2022-8,全频音箱,全频音箱,音响,全频音箱,,套,290.00 ,/,300.00 ,280.00 ,/,,
SB-2022-9,高音音箱,600W高音音响,音响,高音音箱,600W高音音响,只,350.00 ,/,400.00 ,/,/,,
SB-2022-10,低音音箱,450W低音音箱,音响,低音音箱,450W低音音箱,只,380.00 ,/,400.00 ,380.00 ,/,,
SB-2022-11,混音音箱,300-500混音音箱,音响,混音音箱,300-500混音音箱,只,/,/,/,/,/,,
SB-2022-12,返听音箱,250W舞台返听音箱,音响,返听音响,250W舞台反听音箱,只,200.00 ,200.00 ,200.00 ,200.00 ,/,,
SB-2022-13,专业功放,专业功放1000W,音响,专业功放/功率放大器 - 专业功放1000W,,台,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,
SB-2022-14,专业功放,专业功放2000W,音响,专业功放/功率放大器 - 专业功放2000W,,台,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,
SB-2022-15,专业耳返,专业耳返,音响,专业耳返,,套,480.00 ,500.00 ,500.00 ,470.00 ,480.00 ,,
SB-2022-16,耳麦,耳麦,音响,耳麦,,支,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,,
SB-2022-17,无线领夹,无线领夹,音响,无线领夹,,支,100.00 ,100.00 ,0.00 ,0.00 ,100.00 ,,
SB-2022-18,无线话筒麦克风,无线话筒麦克风,音响,无线话筒麦克风,,支,95.28 ,100.00 ,100.00 ,95.00 ,100.00 ,,
SB-2022-19,会议话筒,会议话筒,音响,会议话筒,,支,0.00 ,0.00 ,/,95.00 ,100.00 ,,
SB-2022-20,鹅颈话筒,鹅颈话筒,音响,鹅颈话筒,,支,0.00 ,0.00 ,100.00 ,95.00 ,100.00 ,,
SB-2022-21,数字调音台,数字调音台,音响,数字调音台,,台,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,
SB-2022-22,大光束灯,1500w,灯光,大光束灯,1500w,台,190.00 ,350.00 ,200.00 ,190.00 ,190.00 ,,
SB-2022-23,小光束灯,230W,灯光,小光束灯,230W,台,190.00 ,190.00 ,200.00 ,190.00 ,160.00 ,,
SB-2022-24,电脑摇头灯,电脑摇头图案灯,灯光,电脑摇头灯 - 电脑摇头图案灯,230W,台,280.00 ,350.00 ,300.00 ,280.00 ,300.00 ,,
SB-2022-25,电脑摇头灯,Logo灯片,灯光,电脑摇头灯 - Logo灯片,,个,95.28 ,95.00 ,100.00 ,95.00 ,100.00 ,,
SB-2022-26,LED帕灯,LED帕灯,灯光,LED帕灯,,个,48.00 ,48.00 ,50.00 ,48.00 ,50.00 ,,
SB-2022-27,LED车展灯,LED车展灯,灯光,LED车展灯,,台,/,200.00 ,0.00 ,200.00 ,/,,
SB-2022-28,面光灯,1000W,灯光,面光灯,1000W,台,60.00 ,70.00 ,0.00 ,70.00 ,50.00 ,,
SB-2022-29,筒灯,筒灯,灯光,筒灯,,个,/,/,30.00 ,28.30 ,/,,
SB-2022-30,频闪灯,1000W,灯光,频闪灯,1000W,台,145.00 ,350.00 ,150.00 ,140.00 ,/,,
SB-2022-31,观众灯,四眼观众灯,灯光,观众灯 - 四眼观众灯,,台,145.00 ,300.00 ,150.00 ,140.00 ,/,,
SB-2022-32,观众灯,八眼观众灯,灯光,观众灯 - 八眼观众灯,,台,380.00 ,/,400.00 ,375.00 ,/,,
SB-2022-33,追光灯,2500W/1200W,灯光,追光灯,2500W/1200W,台,335.00 ,350.00 ,350.00 ,330.19 ,350.00 ,,
SB-2022-34,回光灯,1500W回光灯带变色器,灯光,回光灯,1500W回光灯带变色器,台,/,/,/,/,/,,
SB-2022-35,地排灯,1000W,灯光,地排灯,1000W,个,/,/,/,/,/,,
SB-2022-36,聚光灯,用于面光、耳光、侧光,灯光,聚光灯,用于面光、耳光、侧光,台,/,/,/,/,/,,
SB-2022-37,成像灯,750W,灯光,成像灯,750W,台,95.28 ,/,100.00 ,100.00 ,/,,
SB-2022-38,切割灯,切割灯600W,灯光,切割灯,600W,个,360.00 ,350.00 ,350.00 ,350.00 ,/,,
,切割灯,切割灯1500W,灯光,切割灯,1500W,,/,/,500.00 ,/,/,,
SB-2022-39,AC灯,1000W,灯光,AC灯,1000W,个,/,/,/,/,/,,
SB-2022-40,激光灯,单色激光灯 3W,灯光,激光灯 - 单色激光灯,3W,台,/,/,/,/,/,,
SB-2022-41,激光灯,全色激光灯 5W,灯光,激光灯 - 全色激光灯,5W,台,/,/,2500.00 ,2830.19 ,/,,
SB-2022-42,灯光支架,灯光支架 可调节高度,灯光,灯光支架,可调节高度,个,0.00 ,0.00 ,0.00 ,0.00 ,/,,
SB-2022-43,灯光控制台,灯光控制台,灯光,灯光控制台,,台,0.00 ,0.00 ,0.00 ,0.00 ,/,,
SB-2022-44,LED屏精度P3,LED屏精度P3,LED屏,LED屏精度P3,,平方,140.00 ,140.00 ,150.00 ,141.51 ,140.00 ,,
SB-2022-45,LED屏精度P4,LED屏精度P4,LED屏,LED屏精度P4,,平方,/,140.00 ,140.00 ,130.00 ,/,,
SB-2022-46,地转屏,地转屏,LED屏,地转屏,,平方,/,190.00 ,200.00 ,190.00 ,/,,
SB-2022-47,冰屏,冰屏,LED屏,冰屏,,平方,480.00 ,480.00 ,500.00 ,/,/,,
SB-2022-48,45°切割屏,45°切割屏,LED屏,45°切割屏,,平方,140.00 ,140.00 ,/,/,/,,
SB-2022-49,滑轨,滑轨,LED屏,滑轨,,米,76.23 ,80.00 ,80.00 ,75.47 ,/,,
SB-2022-50,视频无缝切换台,视频无缝切换台,LED屏,视频无缝切换台,,台,0.00 ,0.00 ,0.00 ,1000.00 ,800.00 ,,
SB-2022-51,数字分频处理器,数字分频处理器,LED屏,处理器 - 数字分频处理器,,台,/,/,0.00 ,/,/,,
SB-2022-52,服务器AXON OR AKS,服务器AXON OR AKS,LED屏,处理器 - 服务器AXON OR AKS,,台,2000.00 ,2000.00 ,2500.00 ,/,/,,
SB-2022-53,苹果视频服务器,苹果视频服务器,LED屏,处理器 - 苹果视频服务器,,套,2000.00 ,2000.00 ,2500.00 ,/,/,,
SB-2022-54,V4视频服务器+控制台,V4视频服务器+控制台,LED屏,处理器 - V4视频服务器+控制台,,套,950.00 ,950.00 ,1000.00 ,940.00 ,/,,
,V3,V3处理器,LED屏,处理器 - V3,,,/,0.00 ,/,/,/,,
,S3,S3处理器,LED屏,处理器 - S3,,,/,0.00 ,/,/,/,,
,C3,C3处理器,LED屏,处理器 - C3,,,/,0.00 ,/,/,/,,
,E2,E2处理器,LED屏,处理器 - E2,,,/,0.00 ,/,/,/,,
SB-2022-55,TRUSS架,760*600mm,基础物料,TRUSS架 - 铝合金TRUSS架,760*600mm/600*400mm,米,42.88 ,/,45.00 ,42.45 ,/,,
,TRUSS架,600*400mm,基础物料,TRUSS架 - 铝合金TRUSS架,,,/,40.00 ,/,/,/,,
SB-2022-56,TRUSS架,400*400mm,基础物料,TRUSS架 - 铝合金TRUSS架,400*400mm,米,33.35 ,33.00 ,35.00 ,33.02 ,35.00 ,,
SB-2022-57,TRUSS架,300*300mm,基础物料,TRUSS架 - 铝合金TRUSS架,300*300mm,米,/,/,30.00 ,28.30 ,30.00 ,,
SB-2022-58,雷亚架,国标铝合金管,基础物料,雷亚架,国标铝合金管,米,9.53 ,20.00 ,10.00 ,9.43 ,/,,
SB-2022-59,葫芦,手拉葫芦,基础物料,葫芦 - 手拉,,台,0.00 ,0.00 ,0.00 ,0.00 ,/,,
SB-2022-60,葫芦,电动葫芦,基础物料,葫芦 - 电动,,台,0.00 ,200.00 ,200.00 ,190.00 ,/,,
SB-2022-61,舞台,标准舞台钢架，舞台板，舞台高度0.8m,基础物料,舞台 - 钢架舞台/钢木结构舞台,标准舞台钢架，舞台板，舞台高度0.8m,平方,19.06 ,25.00 ,20.00 ,18.87 ,20.00 ,,
SB-2022-62,舞台,标准舞台钢架，舞台板，舞台高度1.2m,基础物料,舞台 - 钢架舞台/钢木结构舞台,标准舞台钢架，舞台板，舞台高度1.2m,平方,23.82 ,35.00 ,25.00 ,25.00 ,25.00 ,,
SB-2022-63,舞台,标准舞台钢架，舞台板，舞台高度1.5m,基础物料,舞台 - 钢架舞台/钢木结构舞台,标准舞台钢架，舞台板，舞台高度1.5m,平方,23.82 ,35.00 ,25.00 ,30.00 ,30.00 ,,
SB-2022-64,地毯,普通地毯 一次性地毯，展览地毯,基础物料,地毯 - 普通地毯,一次性地毯，展览地毯,平方,4.76 ,5.00 ,5.00 ,4.72 ,5.00 ,,
SB-2022-65,地毯,中档地毯 拉绒/圈绒地毯,基础物料,地毯 - 中档地毯,拉绒/圈绒地毯,平方,9.53 ,8.00 ,10.00 ,9.43 ,8.00 ,,
SB-2022-66,桁架,方管桁架,基础物料,桁架 - 方管桁架,220*220,米,11.43 ,/,12.00 ,11.32 ,12.00 ,,
SB-2022-67,桁架,圆管桁架,基础物料,桁架 - 圆管桁架,220*220,米,9.53 ,/,10.00 ,9.43 ,/,,
SB-2022-68,喷绘,普通喷绘,基础物料,喷绘 - 普通喷绘,,平方,5.72 ,/,6.00 ,5.66 ,5.00 ,,
SB-2022-69,喷绘,黑白布,基础物料,喷绘 - 黑白布,,平方,11.43 ,/,12.00 ,11.32 ,10.00 ,,
SB-2022-70,线槽,线槽,基础物料,线槽 - 线槽,,米,9.53 ,/,10.00 ,9.43 ,5.00 ,,
SB-2022-71,桌椅,会议条桌含桌布（白色普通布/弹力布）,基础物料,桌椅 - 会议条桌含桌布（白色普通布/弹力布）,1.2米,张,19.06 ,/,20.00 ,18.87 ,20.00 ,,
SB-2022-72,桌椅,会议椅,基础物料,桌椅 - 会议椅,,把,9.53 ,/,10.00 ,9.43 ,10.00 ,,
SB-2022-73,桌椅,折叠椅,基础物料,桌椅 - 折叠椅,,把,/,/,/,/,10.00 ,,
SB-2022-74,桌椅,吧桌（白色桌套  红色丝带）,基础物料,桌椅 - 吧桌（白色桌套  红色丝带）,,张,47.64 ,/,50.00 ,47.17 ,35.00 ,,
SB-2022-75,桌椅,吧凳（白色）,基础物料,桌椅 - 吧凳（白色）,,个,/,/,20.00 ,18.87 ,25.00 ,,
SB-2022-76,桌椅,方凳 塑料,基础物料,桌椅 - 方凳,塑料,个,/,/,1.00 ,0.94 ,1.50 ,,
SB-2022-77,A字板,A字板,基础物料,A字板,,块,142.92 ,/,150.00 ,145.00 ,/,,
SB-2022-78,不锈钢铁马,不锈钢铁马,基础物料,不锈钢铁马,,米,9.53 ,/,10.00 ,10.00 ,10.00 ,,
SB-2022-79,警戒线（庄）,10米/16米/20米及以上,基础物料,警戒线（庄）,10米/16米/20米及以上,米,/,/,/,/,/,,
SB-2022-80,隔离柱,隔离柱,基础物料,隔离柱,,个,9.53 ,/,10.00 ,10.00 ,10.00 ,,
SB-2022-81,对讲机,对讲机,基础物料,对讲机,,个,14.29 ,/,15.00 ,15.00 ,/,,
SB-2022-82,道旗,5米（含画面）,基础物料,道旗,5米（含画面）,套,142.92 ,/,150.00 ,140.00 ,/,,
SB-2022-83,刀旗,80*240cm，含画面,基础物料,刀旗,80*240cm，含画面,套,/,/,/,/,/,,
SB-2022-84,气拱门,含风机,基础物料,气拱门,含风机,个,285.85 ,/,300.00 ,280.00 ,300.00 ,,
SB-2022-85,气柱,含风机,基础物料,气柱,含风机,个,190.00 ,/,200.00 ,190.00 ,150.00 ,,
SB-2022-86,电视,42寸,基础物料,电视 - 液晶电视,42寸,台,500.00 ,/,600.00 ,500.00 ,/,,
SB-2022-87,电视,37寸,基础物料,电视 - 液晶电视,37寸,台,/,/,900.00 ,600.00 ,350.00 ,,
SB-2022-88,提词器,提词器,基础物料,提词器,,台,470.00 ,400.00 ,500.00 ,/,250.00 ,,
SB-2022-89,PPT翻页器,PPT翻页器,基础物料,PPT翻页器,专业,只,/,400.00 ,/,300.00 ,250.00 ,,
SB-2022-90,点歌系统,点歌系统,基础物料,点歌系统,,套,95.28 ,200.00 ,100.00 ,150.00 ,200.00 ,,
SB-2022-91,泡泡机,泡泡机 300W,基础物料,泡泡机,300W,台,/,100.00 ,100.00 ,150.00 ,150.00 ,,
SB-2022-92,烟雾机,烟雾机 9000（CUBICFT/MIN）,基础物料,烟雾机,9000（CUBICFT/MIN）,台,/,100.00 ,100.00 ,200.00 ,250.00 ,,
SB-2022-93,薄雾机,薄雾机,基础物料,薄雾机,,台,190.00 ,/,200.00 ,200.00 ,250.00 ,,
SB-2022-94,彩虹机,彩虹机,基础物料,彩虹机,,台,/,/,400.00 ,/,/,,
SB-2022-95,泡沫机,泡沫机,基础物料,泡沫机,,台,/,/,300.00 ,280.00 ,/,,
SB-2022-96,雪花机,雪花机,基础物料,雪花机,,台,/,/,/,/,/,,
SB-2022-97,干冰机,干冰机,基础物料,干冰机,,台,/,/,400.00 ,350.00 ,/,,
SB-2022-98,电子礼炮,电子礼炮,基础物料,电子礼炮,,门,/,/,/,/,/,,
SB-2022-99,小钢炮,小钢炮,基础物料,小钢炮,,门,/,/,/,/,/,,
SB-2022-100,皇家礼炮,皇家礼炮,基础物料,皇家礼炮,,门,/,/,/,/,/,,
SB-2022-101,冷焰火,冷焰火,基础物料,冷焰火,,个,/,/,300.00 ,/,/,,
SB-2022-102,小启动球,小启动球,基础物料,小启动球,,个,/,/,800.00 ,/,/,,
SB-2022-103,大启动球,大启动球,基础物料,大启动球,,个,/,/,2000.00 ,/,/,,
SB-2022-104,户外烤火器,户外烤火器,基础物料,户外烤火器,,个,/,/,/,/,/,含燃气,
SB-2022-105,彩烟,彩烟,基础物料,彩烟,,盆,/,/,/,/,/,,
