序号,内部标准名,项目说明,详细描述,单位,议价,,
1,舞台,舞台费用（含拆/装费用）高度0.8m,标准舞台钢架，舞台板，舞台高度0.8m,平方米/天,43,,
2,舞台,舞台费用（含拆/装费用）高度1.2m-1.5m,标准舞台钢架，舞台板，舞台高度1.2m-1.5m,平方米/天,45,,
3,truss架,Truss架（含拆/装费用）,标准国产，符合活动需求40MM（也可用50MM或60MM代替)，2天内算1次）,米,112,,
4,雷亚架,雷亚架（含拆/装费用）,国标铝合金管/（二天为一个周期）,米,15,,
5,地毯,地毯（含拆/装费用）,地毯（我司指定颜色，拉绒或小圈绒，厚地毯，7成新及以上，3天内算1次）,平方米/天,17,,
6,调音台,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）数字调音台（含：32路/64路/128路调音台根据需求提供，带USB接口的电脑、话筒架2等）,数字调音台（含：32路/64路/128路调音台根据需求提供，带USB接口的电脑、话筒架2等）,天,650,,
7,无线麦,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）无线唛（森海塞尔115g或同品质品牌，含话筒转换器）,无线唛（森海塞尔115g或同品质品牌，含话筒转换器）,天,55,,
8,胸麦,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）胸唛（森海塞尔115g或同品质品牌）,胸唛（森海塞尔115g或同品质品牌）,天,55,,
9,返听音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质250W舞台反听音箱1对,进口JBL品牌或同品质250W舞台反听音箱1对,天,650,,
10,高音音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质600W高音音响1对,进口JBL品牌或同品质600W高音音响1对,天,870,,
11,低音音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质450W低音音箱1对,进口JBL品牌或同品质450W低音音箱1对,天,650,,
12,婚姻音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质300~500W混音音箱1对,进口JBL品牌或同品质300~500W混音音箱1对,天,1120,,
13,阵列音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）IBO现行振列音响（含16只音响）,IBO现行振列音响（含16只音响）,天,8190,,
14,音响师,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）音响师,音响师,天/人,3.14,,
15,帕灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）帕灯（3W，多种颜色）,帕灯（3W，多种颜色）,天,3.14,,
16,筒灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）筒灯（创展/COCO或同品质品牌）,筒灯（创展/COCO或同品质品牌）,天,3.14,,
17,LED灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）LED灯,LED灯,天,3.14,,
18,光速灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）光束灯（230w）,光束灯（230w）,天,3.14,,
19,面光灯,"灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）面光灯,1000W","面光灯,1000W",天,3.14,,
20,摇头灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）电脑摇头灯(230W）,电脑摇头灯(230W）,天,3.14,,
21,追光灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）追光灯（2500W/1200W）,追光灯（2500W/1200W）,天,3.14,,
22,380伏硅箱,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）380伏硅箱,380伏硅箱,天,3.14,,
23,液晶电视,液晶电视 （含电线、插线板、USB接口、人员调式）,超薄电视、带USB接口，电视42寸以上（含），强阳光下不反光,天,3.14,,
24,平板电脑,游戏道具（含运输及拆装等费用）平板电脑（苹果牌或同质量品牌）,平板电脑（苹果牌或同质量品牌）,天,3.14,,
25,激光刻字机,游戏道具（含运输及拆装等费用）激光刻字机（含工作人员及相关辅助设备）,激光刻字机（含工作人员及相关辅助设备）,天,3.14,,
26,WIFI,游戏道具（含运输及拆装等费用）无线WIFI,无线WIFI,天,3.14,,
27,航拍,游戏道具（含运输及拆装等费用）航拍（含操控人员，电池等相关配件）,航拍（含操控人员，电池等相关配件）,天,3.14,,
28,VR,游戏道具（含运输及拆装等费用）VR（三星或同品质国产品牌）,VR（三星或同品质国产品牌）,天,3.14,,
29,泡泡机,舞美道具（含调控师费用、舞美道具市内运输及拆装等费用）泡泡机（300W）,泡泡机（300W）,天,3.14,,
30,烟雾机,舞美道具（含调控师费用、舞美道具市内运输及拆装等费用）烟雾机（9000CUBICFT/MIN）,烟雾机（9000CUBICFT/MIN）,天,3.14,,
31,冷焰火,舞美道具（含调控师费用、舞美道具市内运输及拆装等费用）冷焰火,冷焰火,天,3.14,,
32,LED屏,舞美道具（含调控师费用、舞美道具市内运输及拆装等费用）组装式LED显示屏P3（室外屏）,组装式LED显示屏P3（室外屏）,平方米/天,3.14,,
33,主持,主持人业余（有校园、酒吧、大型活动等主持经验）,业余（有校园、酒吧、大型活动等主持经验）,天/人,3.14,,
34,主持,主持人专业(在电台在职或有电台主持经验）,专业(在电台在职或有电台主持经验）,天/人,3.14,,
35,化妆师,化妆造型人员,有过相关工作经验,天/人,3.14,,
36,电光舞,电光舞,以人数算，平均到个人（3小时内1~2只舞蹈为1场）,天/人,3.14,,
37,街舞,街舞/热舞,以人数算，平均到个人（3小时内1~2只舞蹈为1场）,天/人,3.14,,
38,单车表演,特技/型表演单车表演（3人参与表演，每次表演时间至少10分钟，每天2次）,单车表演（3人参与表演，每次表演时间至少10分钟，每天2次）,天/人,3.14,,
39,变脸,特技/型表演变脸（表演）/每天2次,变脸（表演）/每天2次,天/人,3.14,,
40,小丑,特技/型表演小丑（表演）/每天2次,小丑（表演）/每天2次,天/人,3.14,,
41,魔术,特技/型表演单人魔术表演/每天2次,单人魔术表演/每天2次,天/人,3.14,,
42,乐队,乐队4~6人，1`2首歌/场（主唱、吉他手/贝斯手、鼓手、键盘手等）,4~6人，1`2首歌/场（主唱、吉他手/贝斯手、鼓手、键盘手等）,天/人,3.14,,
43,歌手,单人歌手普通歌手，3首歌/场（4小时以内算一场，人数不限）,普通歌手，3首歌/场（4小时以内算一场，人数不限）,天/人,3.14,,
44,要比,"摄影摇臂（六米,带设备、摄影师，活动后需刻光盘并将光盘到市场部存档）","摇臂（六米,带设备、摄影师，活动后需刻光盘并将光盘到市场部存档）",天,3.14,,
45,摄影,摄影全程录制（自带摄影设备、摄影师，活动后需刻光盘并将光盘到市场部存档）,全程录制（自带摄影设备、摄影师，活动后需刻光盘并将光盘到市场部存档）,天/人,3.14,,
46,摄像,摄影全程拍照（自带摄影设备、摄影师，仅用于我司指定网络宣传拍摄）,全程拍照（自带摄影设备、摄影师，仅用于我司指定网络宣传拍摄）,天/人,3.14,,
47,安保,安保人员,负责活动现场安保工作，含安保服装（有过从事或正在从事安保工作经验人员）,天/人,3.14,,
48,礼仪,礼仪人员,形象气质佳，身高1.65-1.75米,天/人,3.14,,
49,促销,促销生,活动现场负责活动执行及游戏,天/人,3.14,,
50,督导,督导,具体数量需根据活动确认（6~8名促销配一名督导）,天/人,3.14,,
51,劳务,劳务工,负责活动现场安装和撤场,小时/人,3.14,,
52,冰块,冰块费（含冰块运输费）,5KG,天,3.14,,
53,警戒线,警戒线（庄）,用于区域划分（根据需求提供，10米\16米\20米及以上）,天,3.14,,
54,铁马,铁马,1.2x2m（烤漆铁马）,天,3.14,,
55,桌椅,桌椅评委桌（铁质或木质）,评委桌（铁质或木质）,天,3.14,,
56,方凳,桌椅方凳（塑料）,方凳（塑料）,天,3.14,,
57,过线槽,过线槽（租赁）,1m长PVC橡胶小二线槽（室外宽24cm*高4.5cm，槽径：宽3cm*高3cm）,天,3.14,,
58,运费,运费,以所所在地为起点，20公里以外开始计费，20公里内不计费，以百度地图为准,公里,3.14,,
59,代垫,代垫费率,未税,Each,3.14,,
